,question,phrase_1,phrase_2,response_1,response_2,response_3,response_4,response_5,response_6
20,Which term expresses a higher degree of certainty that the <finding> is present?.20,may represent,might,may represent,might,may represent,may represent,might,may represent
21,Which term expresses a higher degree of certainty that the <finding> is present?.21,cannot be entirely excluded,could,could,could,could,could,could,could
22,Which term expresses a higher degree of certainty that the <finding> is present?.22,may represent,suggest,may represent,suggest,suggest,suggest,suggest,suggest
23,Which term expresses a higher degree of certainty that the <finding> is present?.23,concerning for,could be,concerning for,concerning for,concerning for,concerning for,could be,concerning for
24,Which term expresses a higher degree of certainty that the <finding> is present?.24,could reflect,might,could reflect,might,could reflect,might,might,could reflect
25,Which term expresses a higher degree of certainty that the <finding> is present?.25,more likely,suggests,more likely,suggests,suggests,suggests,suggests,suggests
26,Which term expresses a higher degree of certainty that the <finding> is present?.26,appear,differential,appear,appear,appear,appear,appear,appear
27,Which term expresses a higher degree of certainty that the <finding> is present?.27,if any,not excluded,not excluded,not excluded,if any,not excluded,not excluded,not excluded
28,Which term expresses a higher degree of certainty that the <finding> is present?.28,or,worrisome for,worrisome for,worrisome for,worrisome for,worrisome for,or,worrisome for
29,Which term expresses a higher degree of certainty that the <finding> is present?.29,less likely,might,might,might,might,might,might,might
30,Which term expresses a higher degree of certainty that the <finding> is present?.30,and/or,could reflect,could reflect,could reflect,could reflect,could reflect,and/or,could reflect
31,Which term expresses a higher degree of certainty that the <finding> is present?.31,and/or,differential,and/or,and/or,and/or,differential,and/or,and/or
32,Which term expresses a higher degree of certainty that the <finding> is present?.32,less likely,likely,likely,likely,likely,likely,likely,likely
33,Which term expresses a higher degree of certainty that the <finding> is present?.33,less likely,possibly,possibly,possibly,possibly,possibly,possibly,possibly
34,Which term expresses a higher degree of certainty that the <finding> is present?.34,difficult to exclude,may be due to,may be due to,may be due to,difficult to exclude,may be due to,difficult to exclude,may be due to
35,Which term expresses a higher degree of certainty that the <finding> is present?.35,could be due to,worrisome for,worrisome for,worrisome for,worrisome for,worrisome for,worrisome for,worrisome for
36,Which term expresses a higher degree of certainty that the <finding> is present?.36,concerning for,difficult to exclude,concerning for,concerning for,concerning for,concerning for,difficult to exclude,concerning for
37,Which term expresses a higher degree of certainty that the <finding> is present?.37,probable,probably,probable,probably,probable,probably,probably,probably
38,Which term expresses a higher degree of certainty that the <finding> is present?.38,appears to be,if any,appears to be,appears to be,if any,appears to be,appears to be,appears to be
39,Which term expresses a higher degree of certainty that the <finding> is present?.39,could represent,suggesting,suggesting,suggesting,suggesting,suggesting,suggesting,suggesting
40,Which term expresses a higher degree of certainty that the <finding> is present?.40,cannot be excluded,could,could,could,cannot be excluded,could,could,could
41,Which term expresses a higher degree of certainty that the <finding> is present?.41,either,potentially,potentially,potentially,potentially,either,either,potentially
42,Which term expresses a higher degree of certainty that the <finding> is present?.42,could reflect,not excluded,could reflect,could reflect,not excluded,could reflect,could reflect,could reflect
43,Which term expresses a higher degree of certainty that the <finding> is present?.43,could be,versus,could be,could be,could be,versus,versus,could be
44,Which term expresses a higher degree of certainty that the <finding> is present?.44,concerning for,might,concerning for,concerning for,concerning for,concerning for,concerning for,concerning for
45,Which term expresses a higher degree of certainty that the <finding> is present?.45,appears,probable,appears,appears,probable,appears,appears,probable
46,Which term expresses a higher degree of certainty that the <finding> is present?.46,may,possibility,possibility,may,may,may,may,possibility
47,Which term expresses a higher degree of certainty that the <finding> is present?.47,most likely,not excluded,most likely,most likely,most likely,most likely,most likely,most likely
48,Which term expresses a higher degree of certainty that the <finding> is present?.48,and/or,may reflect,may reflect,may reflect,and/or,and/or,and/or,may reflect
49,Which term expresses a higher degree of certainty that the <finding> is present?.49,may reflect,not excluded,may reflect,may reflect,may reflect,may reflect,may reflect,may reflect
